Quotazioni in euro riferite al 22/09/2014
""
Paese,Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Nota
COMORE (Isole),Franco Isole Comore,KMF,210,491.968,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CONGO (Repubblica del),Franco CFA,XAF,043,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CONGO (Repubblica Democratica),Franco Congolese,CDF,261,1185.03,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
COREA DEL NORD,Won Nord,KPW,182,2.8259,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
COREA DEL SUD,Won Sud,KRW,119,1340.29,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
COSTA D AVORIO,Franco CFA,XOF,209,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
COSTA RICA,Colon Costa Rica,CRC,077,693.405,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CROAZIA,Kuna,HRK,229,7.6243,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
CUBA,Peso Cubano,CUP,067,1.2845,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
DANIMARCA,Corona Danese,DKK,007,7.4437,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
DOMINICA,Dollaro Caraibi Est,XCD,137,3.46815,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
